Data,Canal,Solicitante,Plataforma,Tipo de problema,Problema,Solução
14/04/2025,Presencial,Aluno,Árvore,Acesso,Não possuia o código de acesso da plataforma Árvore.,Código gerado.
14/04/2025,Presencial,Aluno,Redigir,Cadastro,Não estava cadastrada na plataforma Redigir.,Cadastro criado.
14/04/2025,Presencial,Aluno,MS Teams,Autenticação,Bloqueado de seu acesso do MS Teams devido a uma autenticação antiga.,CI contatada.
14/04/2025,Presencial,Aluno,MS Teams,Interface,Não conseguia visualizar determinados conteúdos no MS Teams.,Limpeza de cache realizada.
14/04/2025,Presencial,Aluno,MS Teams,Interface,Não conseguia visualizar determinados conteúdos no MS Teams.,Limpeza de cache realizada.
15/04/2025,Presencial,Colaborador,Jovens Gênios,Interface,Um erro de HTML impede a professora de realizar atividades na plataforma Jovens Gênios.,Suporte contatado.
28/04/2025,Presencial,Aluno,MS Teams,Cadastro,Aluna não estava inserida na turma do MS Teams.,Aluna inserida na turma.
29/04/2025,E-mail ou Whatsapp,Colaborador,Jovens Gênios,Cadastro,Professora não se encontra cadastrada na Jovens Gênios.,Suporte contatado.
29/04/2025,Presencial,Colaborador,Árvore,Acesso,Professora não sabia seu acesso da plataforma Árvore.,Credenciais fornecidas em papel.
29/04/2025,Presencial,Colaborador,Árvore,Acesso,Professora não sabia seu acesso da plataforma Árvore.,Credenciais fornecidas em papel.
30/04/2025,E-mail ou Whatsapp,Aluno,Edebê,Interface,Aluna possuía cadastro duplicado na plataforma Edebê.,Suporte contatado.
30/04/2025,E-mail ou Whatsapp,Aluno,Edebê,Acesso,Aluno não sabia o acesso da plataforma Edebê.,Acesso informado via mensagem.
05/05/2025,Presencial,Responsável,(Geral),Acesso,Mãe de aluno novo não sabia como acessar todas as plataformas educacionais (geral),Rápido guia universal simplificado de acesso criado e entregue.
05/05/2025,OneCode,Responsável,(Geral),Acesso,Mãe não sabia como acessar todas as plataformas educacionais (geral),Link para portfólio do GitHub com documentações e links enviado por mensagem. 
05/05/2025,Presencial,Aluno,Árvore,Acesso,Perdeu código de acesso da plataforma Árvore.,Código providenciado.
05/05/2025,E-mail ou Whatsapp,Colaborador,Jovens Gênios,Cadastro,Professor não se encontra cadastrado na Jovens Gênios.,Suporte contatado.
06/05/2025,Presencial,Aluno,Árvore,Acesso,Perdeu código de acesso da plataforma Árvore.,Código providenciado.
06/05/2025,Presencial,Colaborador,Matific,Acesso,Professora solicita todos os cartões de login da plataforma Matific de sua turma.,Códigos impressos e entregues.
07/05/2025,Presencial,Aluno,Edebê,Interface,Aluna não possuia materiais na plataforma Edebê.,Suporte contatado.
08/05/2025,Presencial,Aluno,Edebê,Interface,Aluno não possuia materiais na plataforma Edebê.,Suporte contatado.
08/05/2025,Presencial,Aluno,Edebê,Interface,Aluno havia se esquecido do acesso da plataforma Edebê.,Acesso informado. 
08/05/2025,Presencial,Aluno,Edebê,Interface,Aluno havia se esquecido do acesso da plataforma Edebê.,Acesso informado. 
09/05/2025,Presencial,Aluno,Redigir,Acesso,Aluna havia se esquecido da senha da plataforma Redigir.,Senha informada.
09/05/2025,E-mail ou Whatsapp,Aluno,Evolucional,Acesso,Aluna com possível senha corrompida na plataforma Evolucional.,Senha alterada.
09/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna com possível erro na interface do MS Teams.,Investigação conduzida. Nada encontrado.
09/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna com possível erro na interface do MS Teams.,Investigação conduzida. Nada encontrado.
09/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna com possível erro na interface do MS Teams.,Investigação conduzida. Nada encontrado.
09/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna com possível erro na interface do MS Teams.,Investigação conduzida. Nada encontrado.
12/05/2025,E-mail ou Whatsapp,Aluno,Redigir,Acesso,Senha da aluna não estava funcionando na plataforma Redigir,Senha redefinida.
12/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna observou que uma disciplina estava ausente em sua turma no MS Teams.,Disciplina adicionada.
12/05/2025,E-mail ou Whatsapp,Aluno,MS Teams,Interface,Aluna não estava sendo notificada de novas mensagens no MS Teams.,"Licenças reatribuídas, testes conduzidos. Problema resolvido."
12/05/2025,E-mail ou Whatsapp,Colaborador,MS Teams,Interface,Professora estava com upload de arquivos corrompido no MS Teams.,Solução técnica administrada.
15/05/2025,Presencial,Aluno,Árvore,Acesso,Perdeu código de acesso da plataforma Árvore.,Código providenciado.
16/05/2025,Presencial,Aluno,Edebê,Acesso,Não se lembrava do acesso da plataforma Edebê.,Credenciais fornecidas em papel.
16/05/2025,Presencial,Aluno,Edebê,Interface,Aluna nova não possui materiais na plataforma Edebê.,Suporte contatado.
16/05/2025,E-mail ou Whatsapp,Colaborador,Redigir,Cadastro,Professora observou aluna com cadastros duplicados na plataforma Redigir.,Mesclagem realizada.
19/05/2025,Presencial,Aluno,Edebê,Acesso,Aluno estava usando um acesso antigo na plataforma Edebê.,Acesso novo informado.
19/05/2025,Presencial,Aluno,MS Teams,Interface,Aluna não consegui acessar documentos de determina disciplina no MS Teams,Limpeza de cache realizada.
20/05/2025,Presencial,Aluno,Edebê,Interface,Aluna não possui materiais na plataforma Edebê.,Suporte contatado.
21/05/2025,OneCode,Responsável,Árvore,Acesso,Mãe deseja as credenciais do aluno na plataforma Árvore.,Credenciais enviadas.
02/06/2025,Presencial,Aluno,MS Teams,Acesso,Aluno não sabia o login do MS Teams,Credenciais informadas.
02/06/2025,Presencial,Aluno,MS Teams,Acesso,Aluna não sabia o login do MS Teams,Credenciais informadas.
02/06/2025,Presencial,Aluno,MS Teams,Interface,Aluno estava com elementos defeituosos no app do MS Teams,Limpeza de cache realizada.
02/06/2025,OneCode,Responsável,Árvore,Acesso,Aluna não conseguia realizar login na plataforma Árvore.,Credenciais informadas.
04/06/2025,Presencial,Aluno,MS Teams,Autenticação,Bloqueada de seu acesso do MS Teams devido a uma autenticação antiga.,CI contatada.
